{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.99895, 'Test Accuracy': 0.9988, 'Linear (S) Randomized Accuracy': 0.6242, 'Slab (S^c) Randomzied Accuracy': 0.8842}}{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.953175, 'Test Accuracy': 0.9503, 'Linear (S) Randomized Accuracy': 0.5063, 'Slab (S^c) Randomzied Accuracy': 0.9499}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.950825, 'Test Accuracy': 0.9508, 'Linear (S) Randomized Accuracy': 0.4968, 'Slab (S^c) Randomzied Accuracy': 0.9523}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999975, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6293, 'Slab (S^c) Randomzied Accuracy': 0.8682}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.950875, 'Test Accuracy': 0.9508, 'Linear (S) Randomized Accuracy': 0.5104, 'Slab (S^c) Randomzied Accuracy': 0.9479}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999975, 'Test Accuracy': 0.9998, 'Linear (S) Randomized Accuracy': 0.6286, 'Slab (S^c) Randomzied Accuracy': 0.8701}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.95065, 'Test Accuracy': 0.9511, 'Linear (S) Randomized Accuracy': 0.4914, 'Slab (S^c) Randomzied Accuracy': 0.9501}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.95125, 'Test Accuracy': 0.9509, 'Linear (S) Randomized Accuracy': 0.5119, 'Slab (S^c) Randomzied Accuracy': 0.9498}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999975, 'Test Accuracy': 1.0, 'Linear (S) Randomized Accuracy': 0.6297, 'Slab (S^c) Randomzied Accuracy': 0.8709}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9512, 'Test Accuracy': 0.9524, 'Linear (S) Randomized Accuracy': 0.5017, 'Slab (S^c) Randomzied Accuracy': 0.9509}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.99995, 'Test Accuracy': 0.9999, 'Linear (S) Randomized Accuracy': 0.6412, 'Slab (S^c) Randomzied Accuracy': 0.8583}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.999825, 'Test Accuracy': 0.9998, 'Linear (S) Randomized Accuracy': 0.6367, 'Slab (S^c) Randomzied Accuracy': 0.8645}}
{'input': {'num_train': 40000, 'dim': 9, 'lin_margin': 0.1, 'slab_margin': 0.1, 'same_margin': True, 'random_transform': True, 'width': 1, 'num_lin': 1, 'num_slabs': 0, 'num_slabs7': 1, 'num_slabs3': 0, 'num_gauss': 7, 'bs': 256, 'corrupt_lin': 0.1, 'corrupt_lin_margin': True, 'corrupt_slab': 0.0, 'num_test': 10000, 'hdim': 300, 'hl': 2, 'mtype': 'fcn', 'device': device(type='cuda', index=0), 'lr': 0.1, 'weight_decay': 0.0005, 'momentum': 0.9}, 'output': {'Train Accuracy': 0.9519, 'Test Accuracy': 0.952, 'Linear (S) Randomized Accuracy': 0.4984, 'Slab (S^c) Randomzied Accuracy': 0.951}}
